INSTNM,CONTROL,DEBT_MDN,C150_4_POOLED_SUPP,RPY_3YR_RT_SUPP,UGDS
University of Nebraska at Kearney,1,13070,0.5679,0.7018659881,4130
Nebraska Methodist College of Nursing & Allied Health,2,21784,0.6951,0.7584158416,752
Metropolitan Community College Area,1,4061,NA,0.4150453956,7629
Mid-Plains Community College,1,6291,NA,0.5418933624,923
Midland University,2,15000,0.4348,0.6409495549,1191
University of Nebraska at Omaha,1,12750,0.4834,0.6316086548,11573
Nebraska Indian Community College,1,PS,PS,NA,330
University of Nebraska Medical Center,1,14000,NA,0.9011406844,861
Nebraska Wesleyan University,2,17500,0.6388,0.7412663755,1514
University of Nebraska-Lincoln,1,14750,0.654,0.7410428197,18887
Northeast Community College,1,7244,NA,0.5642176108,2464
Peru State College,1,12000,0.3567,0.5523809524,1141
Summit Christian College,2,PS,PS,NA,17
College of Saint Mary,2,17500,0.6306,0.6291946309,455
Southeast Community College Area,1,6672,NA,0.4948024948,6235
Union Adventist University,2,18750,0.5096,0.6206896552,439
Nebraska College of Technical Agriculture,1,14750,NA,0.7410428197,228
Wayne State College,1,12240,0.5351,0.6920222635,3041
Western Nebraska Community College,1,5500,NA,0.4824961948,948
York University,2,14250,0.3991,0.5907590759,443
Academy of Hair Design-Las Vegas,3,6211,NA,0.464,213
College of Southern Nevada,1,4500,0.1742,0.3114866408,27790
Las Vegas College,3,7951,0.6271,0.2326565144,545
University of Nevada-Las Vegas,1,12500,0.487,0.5280997799,24131
University of Nevada-Reno,1,13000,0.6214,0.6616978272,15723
Great Basin College,1,8973,0.4989,0.3905579399,1855
Truckee Meadows Community College,1,6999,0.2716,0.3728119181,6752
Western Nevada College,1,9000,0.3544,0.3269780744,1967
Colby-Sawyer College,2,19500,0.61,0.7492401216,778
Dartmouth College,2,15157,0.954,0.8680555556,4367
Empire Beauty School-Laconia,3,7461,NA,0.3273381295,82
Empire Beauty School-Somersworth,3,6333,NA,0.3979591837,168
Franklin Pierce University,2,19500,0.4931,0.6892857143,1055
University of New Hampshire-Franklin Pierce School of Law,1,22498,NA,0.8129399933,NA
Keene Beauty Academy,3,8371,NA,0.4202898551,93
Magdalen College,2,11331,0.6923,PS,58
New England College,2,15603,0.31,0.4479418886,980
Southern New Hampshire University,2,9169,0.4319,0.4741537333,156755
New Hampshire Institute for Therapeutic Arts,3,PS,NA,0.5853658537,24
University of New Hampshire-Main Campus,1,22498,0.7715,0.8129399933,11230
Keene State College,1,19500,0.589,0.7381137958,2680
University of New Hampshire at Manchester,1,22498,0.6412,0.8129399933,486
Plymouth State University,1,17000,0.4916,0.6849315068,3298
NHTI-Concord's Community College,1,9168,NA,0.5544654939,2186
White Mountains Community College,1,8400,NA,0.4726688103,430
River Valley Community College,1,10000,NA,0.4837758112,610
Lakes Region Community College,1,9500,NA,0.4926650367,493
Manchester Community College,1,9500,NA,0.5029624753,1610
Nashua Community College,1,7833,NA,0.5225,1039
Great Bay Community College,1,7466,NA,0.5228070175,1262
Paul Mitchell the School-Portsmouth,3,9833,NA,PS,61
Rivier University,2,21000,0.5818,0.6834625323,1312
Saint Anselm College,2,26987,0.842,0.8355184744,2032
St Joseph School of Nursing,2,14125,NA,0.7008547009,89
University of New Hampshire College of Professional Studies Online,1,22498,0.146,0.8129399933,1019
Thomas More College of Liberal Arts,2,22475,0.6667,0.6060606061,95
Eastwick College-Hackensack,3,10617,0.44,0.3972789116,874
Assumption College for Sisters,2,NA,NA,NA,35
Atlantic Cape Community College,1,7382,NA,0.4187256177,3860
Fortis Institute-Wayne,3,9100,NA,0.3538083538,404
Bergen Community College,1,8250,NA,0.4885670732,10597
Berkeley College-Woodland Park,3,15414,0.4442,0.3662213087,1798
Beth Medrash Govoha,2,5500,NA,0.637254902,3532
Bloomfield College of Montclair State University,2,18500,0.3293,0.3577060932,901
Brookdale Community College,1,8341,NA,0.4893751982,7898
Rowan College at Burlington County,1,7000,NA,0.4408408408,6174
Caldwell University,2,18500,0.6354,0.5227537923,1437
Camden County College,1,6750,NA,0.4116547211,6555
Centenary University,2,19321,0.5927,0.6578669483,934
Adult and Continuing Education-BCTS,1,3500,NA,0.6436781609,54
Lincoln Technical Institute-Iselin,3,9000,NA,0.2976873265,586
American Institute-Clifton,3,9304,NA,0.2478231748,735
County College of Morris,1,5750,NA,0.5957309185,5315
Rowan College of South Jersey-Cumberland Campus,1,7664,NA,0.4379872431,2077
Drew University,2,21000,0.7305,0.696969697,1510
Lincoln Technical Institute-South Plainfield,3,9524,NA,0.407195572,324
Essex County College,1,PS,NA,NA,5643
Empire Beauty School-Union,3,7667,NA,0.2771362587,113
Fairleigh Dickinson University-Metropolitan Campus,2,19500,0.5726,0.5901960784,2578
Felician University,2,19250,0.5064,0.5271238485,1754
Fairleigh Dickinson University-Florham Campus,2,19500,0.676,0.5901960784,1958
Hohokus School of Trade and Technical Sciences,3,7600,NA,0.3975609756,134
Georgian Court University,2,16984,0.5446,0.5754422477,1174
Rowan University,1,16750,0.6822,0.6680354441,14647
Rowan College of South Jersey-Gloucester Campus,1,7664,NA,0.4379872431,4424
Empire Beauty School-Cherry Hill,3,6756,NA,0.2741273101,125
Eastwick College-Ramsey,3,13771,0.6226,0.4795321637,929
Holy Name Medical Center-Sister Claire Tynan School of Nursing,2,14750,NA,0.676056338,181
Hudson County Community College,1,6000,NA,0.4182655411,6386
New Jersey City University,1,14250,0.3869,0.5001541782,4076
Kean University,1,17199,0.47,0.5205956907,10842
Lincoln Technical Institute-Union,3,9524,NA,0.407195572,1648
Rizzieri Aveda School for Beauty and Wellness,3,5500,NA,0.6378830084,381
Mercer County Community College,1,7000,NA,0.3822525597,5169
Middlesex College,1,5500,NA,0.4818969913,8321
Monmouth University,2,23250,0.6925,0.7229795521,3831
Montclair State University,1,17500,0.6481,0.6537405074,17677
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools,2,21000,NA,0.5815217391,572
Eastwick College-Nutley,3,9500,NA,0.3890675241,456
New Brunswick Theological Seminary,2,PS,NA,NA,NA
Robert Fiance Beauty Schools-West New York,3,6333,NA,0.3284313725,229
New Jersey Institute of Technology,1,17500,0.7341,0.7132867133,8762
Ocean County College,1,8500,NA,0.4612903226,5566
P B Cosmetology Education Center,3,6333,NA,0.4708171206,113
Parisian Beauty School,3,6333,NA,0.5756823821,464
Passaic County Community College,1,5500,NA,0.4198473282,4546
Pennco Tech-Blackwood,3,5922,NA,0.3677474403,996
Princeton Theological Seminary,2,PS,NA,PS,NA
Princeton University,2,10000,0.9732,0.8639455782,5579
Rabbinical College of America,2,PS,0.22,NA,197
Ramapo College of New Jersey,1,15000,0.7068,0.7257740249,4664
Robert Fiance Beauty Schools,3,6333,NA,0.3775100402,185
Rider University,2,20500,0.6482,0.7105882353,3192
Rutgers University-Camden,1,19000,0.6567,0.6969437653,3819
Rutgers University-New Brunswick,1,19000,0.8473,0.6969437653,36357
Rutgers University-Newark,1,19000,0.6692,0.6969437653,7187
Capital Health School of Radiologic Technology,2,PS,NA,PS,15
Capital Health School of Nursing,2,PS,NA,PS,53
Saint Peter's University,2,16091,0.6171,0.4896907216,1939
Salem Community College,1,8250,NA,0.436416185,908
Seton Hall University,2,17886,0.7157,0.6972356297,5924
Shore Beauty School,3,6333,NA,0.3574879227,174
Saint Elizabeth University,2,13000,0.4199,0.5193133047,636
Raritan Valley Community College,1,6000,NA,0.5310957552,5272
Stevens Institute of Technology,2,23250,0.8889,0.9051339286,4084
Stockton University,1,16380,0.7374,0.6429158674,7770
Talmudical Academy-New Jersey,2,PS,0.093,NA,78
Aviation Institute of Maintenance-Teterboro,3,12827,NA,0.582278481,500
Thomas Edison State University,1,7813,NA,0.5339551151,6685
The College of New Jersey,1,21500,0.8549,0.8395669291,6831
UCNJ Union College of Union County New Jersey,1,8500,NA,0.4008207934,7760
William Paterson University of New Jersey,1,15750,0.5194,0.5677496038,6526
Olympian Academy of Cosmetology,3,6584,NA,0.2716794731,538
Central New Mexico Community College,1,4500,NA,0.3107808341,15246
Navajo Technical University,1,PS,0.1402,NA,1134
New Mexico State University-Dona Ana,1,10250,NA,0.4539155301,4812
Clovis Community College,1,5750,NA,0.3813131313,1221
Eastern New Mexico University-Main Campus,1,11000,0.4056,0.4797687861,3186
Eastern New Mexico University-Roswell Campus,1,11000,NA,0.4797687861,1312
Institute of American Indian and Alaska Native Culture and Arts Development,1,PS,0.2577,PS,307
New Mexico Highlands University,1,9500,0.2553,0.4176857949,1561
New Mexico Junior College,1,5500,NA,0.3698224852,2034
New Mexico Military Institute,1,4549,NA,0.4666666667,342
University of New Mexico-Gallup Campus,1,13698,NA,0.477171374,891
New Mexico Institute of Mining and Technology,1,11057,0.5562,0.7267605634,1122
University of New Mexico-Los Alamos Campus,1,13698,NA,0.477171374,238
University of New Mexico-Main Campus,1,13698,0.521,0.477171374,16686
New Mexico State University-Alamogordo,1,10250,NA,0.4539155301,569
Southeast New Mexico College,1,NA,NA,NA,426
New Mexico State University-Grants,1,10250,NA,0.4539155301,351
New Mexico State University-Main Campus,1,10250,0.5159,0.4539155301,11561
University of New Mexico-Valencia County Campus,1,13698,NA,0.477171374,505
Northern New Mexico College,1,6500,0.3606,0.4135338346,859
San Juan College,1,6253,NA,0.4137415982,4228
Santa Fe Community College,1,9604,NA,0.328125,2234
University of the Southwest,2,14000,0.2663,0.4530744337,337
Southwestern College,2,PS,NA,NA,NA
Southwestern Indian Polytechnic Institute,1,PS,NA,NA,233
University of New Mexico-Taos Campus,1,13698,NA,0.477171374,355
Mesalands Community College,1,5295,NA,NA,357
Vogue College of Cosmetology-Santa Fe,3,6333,NA,0.234375,61
Western New Mexico University,1,12500,0.3303,0.375,1935
Vaughn College of Aeronautics and Technology,2,14000,0.3973,0.4568744663,1104
Adelphi University,2,20500,0.6816,0.6887254902,5077
SUNY Adirondack,1,8494,NA,0.4511278195,1959
Bryant & Stratton College-Albany,2,9500,0.2703,0.1873163434,224
Albany College of Pharmacy and Health Sciences,2,25000,0.6549,0.8680781759,509
Albany Law School,2,PS,NA,PS,NA
Albany Medical College,2,PS,NA,PS,NA
Alfred University,2,17751,0.5449,0.7120470127,1401
Allen School-Brooklyn,3,9500,NA,0.2817098809,156
The Ailey School,2,13399,NA,0.3773584906,88
American Academy of Dramatic Arts-New York,2,12000,NA,0.4113475177,225
American Academy McAllister Institute of Funeral Service,2,11000,NA,0.4901315789,282
American Musical and Dramatic Academy,2,12000,0.7129,0.4344957587,1502
Apex Technical School,3,9500,NA,0.2962210484,1300
Arnot Ogden Medical Center,2,10750,NA,0.6888888889,29
Associated Beth Rivkah Schools,2,PS,0.7647,NA,289
Bank Street College of Education,2,PS,NA,PS,NA
Bard College,2,19000,0.7213,0.7905660377,2280
Barnard College,2,15750,0.9225,0.8716356108,3219
Berk Trade and Business School,3,6200,NA,0.4417344173,161
Berkeley College-New York,3,19000,0.3762,0.29975,1514
Berkowits School of Electrolysis,3,6333,NA,NA,107
Beth Hamedrash Shaarei Yosher Institute,2,PS,0.2581,NA,83
Mount Sinai Phillips School of Nursing,2,18750,PS,0.7034482759,273
Brittany Beauty Academy,3,6333,NA,0.356884058,75
Boricua College,2,6347,0.7985,0.4480519481,401
Brittany Beauty Academy,3,6333,NA,0.4057692308,149
American Beauty School,3,3169,NA,0.4613003096,140
Brooklyn Law School,2,PS,NA,PS,NA
SUNY Broome Community College,1,7727,NA,0.4422839506,3203
Bryant & Stratton College-Syracuse North,2,9500,0.2978,0.1873163434,454
Bryant & Stratton College-Buffalo,2,9500,0.2941,0.1873163434,656
Bryant & Stratton College-Greece,2,9500,0.2429,0.1873163434,320
Canisius University,2,19000,0.6832,0.7144837145,1768
Capri Cosmetology Learning Centers,3,5826,NA,0.5580808081,328
St Paul's School of Nursing-Queens,3,20000,NA,0.4551148225,945
Cayuga County Community College,1,6462,NA,0.3291770574,1146
Central Yeshiva Tomchei Tmimim Lubavitz,2,PS,0.0625,NA,810
Christine Valmy International School for Esthetics Skin Care & Makeup,3,5477,NA,NA,728
Circle in the Square Theatre School,2,20000,NA,0.45,50
Clarkson University,2,21714,0.73,0.862508859,2449
Clinton Community College,1,8125,NA,0.4042750929,388
Cochran School of Nursing,2,17796,NA,0.5916666667,112
Colgate Rochester Crozer Divinity School,2,PS,NA,NA,NA
Colgate University,2,13000,0.9089,0.8646788991,3122
Metropolitan College of New York,2,20000,0.2965,0.163599182,430
Columbia University in the City of New York,2,18750,0.9511,0.7604951561,8899
Columbia-Greene Community College,1,9000,NA,0.4698275862,900
Empire Beauty School-Queens,3,6756,NA,0.2741273101,147
Continental School of Beauty Culture-Rochester,3,6333,NA,0.3609360936,213
The Cooper Union for the Advancement of Science and Art,2,12375,0.8202,0.7456140351,891
Cornell University,2,13000,0.9522,0.8747210711,15935
Weill Medical College of Cornell University,2,13000,NA,0.8747210711,NA
SUNY Corning Community College,1,8750,NA,0.4213964884,1249
Pomeroy College of Nursing at Crouse Hospital,2,12000,NA,0.6824034335,179
Culinary Institute of America,2,12000,0.6793,0.7543859649,2988
CUNY Bernard M Baruch College,1,10000,0.7279,0.6516168395,15734
CUNY Borough of Manhattan Community College,1,5550,NA,0.3806193806,16850
CUNY Bronx Community College,1,6430,NA,0.318487395,5766
CUNY Brooklyn College,1,9218,0.5584,0.5475735575,10443
College of Staten Island CUNY,1,8846,0.3373,0.4896467722,9387
CUNY City College,1,9775,0.5665,0.5254680017,11934
CUNY Graduate School and University Center,1,9800,NA,0.4727891156,3067
CUNY Hostos Community College,1,6000,NA,0.3947797716,4883
CUNY Hunter College,1,8812,0.5874,0.5675909879,16642
CUNY John Jay College of Criminal Justice,1,9250,0.5465,0.5267392333,11340
CUNY Kingsborough Community College,1,5500,NA,0.3614144566,7632
CUNY LaGuardia Community College,1,5217,NA,0.4192751236,10556
CUNY Lehman College,1,8500,0.5116,0.5086705202,10438
CUNY Medgar Evers College,1,7400,0.2312,0.4036243822,3404
CUNY New York City College of Technology,1,7000,0.2037,0.4804305284,12950
CUNY Queens College,1,8580,0.5835,0.5580378825,13060
CUNY Queensborough Community College,1,5500,NA,0.4026845638,8803
CUNY School of Law,1,PS,NA,NA,NA
CUNY York College,1,7500,0.3168,0.4778325123,4439
CVPH Medical Center School of Radiologic Technology,2,PS,NA,PS,19
D'Youville  University,2,19750,0.6085,0.6309630963,1299
Daemen University,2,15041,0.5669,0.6704152249,1761
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,2,PS,0.3171,NA,57
Dominican University New York,2,18250,0.5498,0.5201923077,1083
Dutchess Community College,1,5500,NA,0.427016129,3696
Belanger School of Nursing,2,11750,NA,0.6075949367,132
Elmira College,2,20230,0.598,0.686440678,583
Erie Community College,1,5500,NA,0.4617554859,5906
Fashion Institute of Technology,1,12000,0.8329,0.6943651926,7575
Finger Lakes Community College,1,8250,NA,0.4017857143,2900
Five Towns College,3,12750,0.448,0.5212418301,533
Fordham University,2,20500,0.8182,0.7651877133,10239
Fulton-Montgomery Community College,1,8500,NA,0.3362336855,953
Gemological Institute of America-New York,2,8233,NA,0.8073394495,313
Genesee Community College,1,6549,NA,0.4421305567,1966
Hamilton College,2,15015,0.9181,0.8981481481,2045
Hartwick College,2,17500,0.4967,0.704610951,1099
Helene Fuld College of Nursing,2,14292,NA,0.4941860465,722
Herkimer County Community College,1,6500,NA,0.3717948718,1144
Hilbert College,2,15000,0.5192,0.5411585366,922
Hobart William Smith Colleges,2,24250,0.7317,0.8040816327,1606
Hofstra University,2,18518,0.6743,0.7103298071,6155
Houghton University,2,20313,0.6243,0.7634920635,867
Hudson Valley Community College,1,5713,NA,0.473000183,6359
Hunter Business School,3,6333,NA,0.4358974359,1042
Iona University,2,19500,0.5699,0.7248603352,2731
Isabella Graham Hart School of Practical Nursing,2,PS,NA,0.6153846154,160
Island Drafting and Technical Institute,3,12000,NA,0.6272727273,53
Ithaca College,2,19500,0.7421,0.8237816764,4350
Jamestown Community College,1,6037,NA,0.4605555556,1692
Jamestown Business College,3,10873,0.6063,0.3667953668,251
Jefferson Community College,1,7685,NA,0.4449648712,1523
Jewish Theological Seminary of America,2,14976,0.8375,PS,172
The Juilliard School,2,25000,0.8964,0.695035461,460
Kehilath Yakov Rabbinical Seminary,2,PS,0.4828,NA,206
Keuka College,2,21418,0.5041,0.5990299111,920
LIM College,3,17500,0.5239,0.6197802198,1133
Le Moyne College,2,18435,0.7177,0.6846381093,2434
Long Island University,2,19500,0.5177,0.5249953883,5478
Long Island Beauty School-Hempstead,3,6333,NA,0.2903225806,47
Long Island Business Institute,3,10000,NA,0.5923913043,347
Machzikei Hadath Rabbinical College,2,PS,0.2286,NA,129
Mandl School-The College of Allied Health,3,12000,NA,0.270313757,465
Manhattan University,2,21500,0.6907,0.790438247,2928
Manhattan School of Music,2,25125,0.7879,0.6551724138,535
Manhattanville University,2,20090,0.5751,0.6888331242,1250
Maria College of Albany,2,14708,0.3809,0.454798331,702
Marion S Whelan School of Nursing of Geneva General Hospital,2,14751,NA,0.5886075949,10
Marist University,2,21500,0.8056,0.7929493545,5039
Marymount Manhattan College,2,19250,0.5328,0.5791710946,1627
St. Peter's Hospital College of Nursing,2,13322,NA,0.7157894737,125
Memorial Hospital School of Radiation Therapy Technology,2,PS,NA,PS,12
Mercy University,2,15000,0.4759,0.3968291529,5539
Mesivta Torah Vodaath Rabbinical Seminary,2,PS,0.3243,NA,337
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,2,PS,PS,NA,41
Mesivtha Tifereth Jerusalem of America,2,PS,0.1291,NA,45
Mildred Elley School-Albany Campus,3,12000,NA,0.2176541717,385
Mirrer Yeshiva Cent Institute,2,PS,0.5422,NA,102
Modern Welding School,3,5500,NA,0.5080645161,69
Mohawk Valley Community College,1,7467,NA,0.3934850052,2994
Molloy University,2,24250,0.7043,0.6782115869,3185
Monroe University,3,12672,0.5687,0.3149298775,5670
Monroe Community College,1,6500,NA,0.3674514934,7737
Mount Saint Mary College,2,22250,0.6347,0.6720306513,1268
Montefiore School of Nursing,2,20000,NA,NA,115
University of Mount Saint Vincent,2,18500,0.5713,0.5485278081,2373
Icahn School of Medicine at Mount Sinai,2,PS,NA,PS,NA
Nassau Community College,1,6000,NA,0.4465900758,10817
Nazareth University,2,22500,0.7095,0.6878814298,1891
Neighborhood Playhouse School of the Theater,2,12000,NA,PS,71
The New School,2,15498,0.7018,0.6220575414,6819
Northeast College of Health Sciences,2,PS,NA,NA,NA
New York Law School,2,PS,NA,PS,NA
New York Medical College,2,PS,NA,PS,NA
New York School for Medical and Dental Assistants,3,6887,NA,0.4567243675,281
New York Theological Seminary,2,PS,NA,NA,NA
New York University,2,18500,0.8778,0.7645899651,29430
Niagara County Community College,1,7070,NA,0.4645325573,2859
Niagara University,2,20312,0.7125,0.7225237449,2713
Empire Beauty School-Peekskill,3,6222,NA,0.4631578947,42
North Country Community College,1,9500,NA,0.4984488108,762
New York College of Podiatric Medicine,2,PS,NA,NA,NA
New York Institute of Technology,2,17000,0.5541,0.5828092243,3320
New York School of Interior Design,2,12750,0.65,0.6015625,423
Ohr Hameir Theological Seminary,2,PS,PS,NA,94
Onondaga Community College,1,5500,NA,0.4052337887,4349
Orange County Community College,1,6500,NA,0.427742616,3822
Otsego Area BOCES-Practical Nursing Program,1,9500,NA,0.472972973,0
Pace University,2,17750,0.6141,0.6359074435,7725
Paul Smiths College of Arts and Science,2,17062,0.5388,0.6906077348,582
Continental School of Beauty Culture-West Seneca,3,6333,NA,0.2607655502,67
Plaza College,3,13348,0.661,0.305982906,829
Davis College,2,17290,0.4151,0.5,88
Pratt Institute-Main,2,20500,0.7438,0.7495361781,3766
Rabbinical Academy Mesivta Rabbi Chaim Berlin,2,PS,0.2187,NA,160
Rabbinical College Bobover Yeshiva Bnei Zion,2,PS,0.9328,NA,436
Rabbinical College Beth Shraga,2,PS,0.5294,NA,48
Rabbinical Seminary Mkor Chaim,2,PS,PS,NA,81
Rabbinical College of Long Island,2,PS,0.2683,NA,161
Rabbinical Seminary of America,2,PS,0.3519,NA,379
Rensselaer Polytechnic Institute,2,21995,0.8348,0.9167983149,5909
Roberts Wesleyan University,2,19000,0.6607,0.6429330499,1065
Rochester Institute of Technology,2,20872,0.7151,0.7653061224,13225
University of Rochester,2,19000,0.8703,0.8003255562,6488
The Rockefeller University,2,NA,NA,NA,NA
Rockland Community College,1,5500,NA,0.4149338374,4180
Empire Beauty School-Manhattan,3,6222,NA,0.2591424968,342
Russell Sage College,2,18000,0.6724,0.5982300885,1075
St Bernard's School of Theology and Ministry,2,PS,NA,NA,NA
St Bonaventure University,2,19500,0.7167,0.708886619,1892
St. Francis College,2,12693,0.5309,0.5133004926,1931
St. Joseph's College of Nursing,2,12000,NA,0.6967213115,283
St Lawrence University,2,22670,0.8135,0.8469520104,2040
The College of Saint Rose,2,16000,0.5312,0.6472320377,1238
St. Thomas Aquinas College,2,17500,0.58,0.6612111293,1009
Samaritan Hospital School of Nursing,2,14250,NA,0.5915492958,132
Sarah Lawrence College,2,19500,0.7078,0.8251121076,1468
Schenectady County Community College,1,6887,NA,0.3456886461,1499
Sh'or Yoshuv Rabbinical College,2,PS,PS,NA,147
Siena College,2,21471,0.7616,0.8147896879,3447
Skidmore College,2,15000,0.8297,0.8585858586,2760
St. Joseph's University-New York,2,17750,0.6661,0.6162211146,3343
Saint Vladimirs Orthodox Theological Seminary,2,PS,NA,NA,NA
Saint Elizabeth College of Nursing,2,12000,NA,0.7382198953,146
St. John Fisher University,2,19500,0.7327,0.750155376,2579
St Paul's School of Nursing-Staten Island,3,18500,NA,0.3993558776,661
St. John's University-New York,2,19500,0.6886,0.6214013181,9742
Sullivan County Community College,1,6200,NA,0.3365735115,916
SUNY College of Technology at Alfred,1,12000,0.5351,0.6718367347,3510
SUNY College of Technology at Canton,1,12500,0.4263,0.5211672832,2778
SUNY College of Technology at Delhi,1,12000,0.4611,0.5708972571,2597
SUNY College of Agriculture and Technology at Cobleskill,1,11000,0.4202,0.610015983,1776
Farmingdale State College,1,11000,0.5563,0.646925859,9117
SUNY Morrisville,1,12000,0.3229,0.4959871589,1860
University at Albany,1,15059,0.6471,0.6716621253,12100
Binghamton University,1,15000,0.8322,0.7553921569,14401
University at Buffalo,1,14250,0.7346,0.6839523476,20284
Stony Brook University,1,15000,0.7783,0.7157913541,17420
SUNY College of Environmental Science and Forestry,1,13000,0.707,0.8030888031,1725
SUNY Polytechnic Institute,1,12000,0.6018,0.6399176955,1773
SUNY Brockport,1,15000,0.5965,0.623253493,5381
SUNY Buffalo State University,1,12500,0.362,0.5734686208,5358
State University of New York at Cortland,1,17500,0.6845,0.7257810035,5896
SUNY at Fredonia,1,17500,0.5663,0.6822299652,2860
SUNY College at Geneseo,1,14836,0.7322,0.7771601819,3855
State University of New York at New Paltz,1,15000,0.7103,0.7054176072,6022
SUNY Oneonta,1,15000,0.7231,0.7743569758,4820
State University of New York at Oswego,1,15750,0.6215,0.6817172465,5618
SUNY College at Potsdam,1,18166,0.4885,0.5789220404,1951
SUNY at Purchase College,1,15194,0.6418,0.5986038394,3110
SUNY College of Optometry,1,PS,NA,PS,NA
SUNY Old Westbury,1,12000,0.4737,0.4868035191,3945
State University of New York at Plattsburgh,1,15000,0.6168,0.6348764358,3789
SUNY Downstate Health Sciences University,1,12500,NA,0.8617021277,286
Empire State University,1,11000,0.2725,0.4179326288,7046
SUNY Maritime College,1,15875,0.7389,0.7951612903,1242
Upstate Medical University,1,15000,NA,0.8306878307,117
Swedish Institute a College of Health Sciences,3,13834,NA,0.4485981308,1157
Syracuse University,2,23697,0.824,0.7873063044,15245
Talmudical Seminary Oholei Torah,2,PS,0.1487,NA,353
Talmudical Institute of Upstate New York,2,PS,PS,NA,16
Teachers College at Columbia University,2,PS,NA,PS,NA
Tompkins Cortland Community College,1,8250,NA,0.3765084473,1456
Torah Temimah Talmudical Seminary,2,PS,0.0541,PS,73
Touro University,2,12500,0.6637,0.4825263158,4004
Trocaire College,2,16617,0.2153,0.4514637904,962
Excelsior University,2,10870,NA,0.5558194774,12701
Ulster County Community College,1,6266,NA,0.4498346196,1265
Union College,2,21085,0.8495,0.8590604027,2070
Union Theological Seminary in the City of New York,2,PS,NA,NA,NA
United Talmudical Seminary,2,PS,0.5795,NA,2006
United States Merchant Marine Academy,1,6500,0.7892,PS,947
United States Military Academy,1,NA,0.8657,NA,4439
Utica University,2,17538,0.5686,0.5862857143,2477
Vassar College,2,17500,0.9058,0.9332023576,2430
Villa Maria College,2,10511,0.3065,0.4266055046,536
School of Visual Arts,3,22000,0.7437,0.6702702703,3432
Wagner College,2,21000,0.6487,0.7629533679,1579
Webb Institute,2,PS,0.8519,PS,105
Wells College,2,12000,0.4573,0.5714285714,355
The College of Westchester,3,16875,0.3724,0.2982142857,760
SUNY Westchester Community College,1,5500,NA,0.3934010152,7788
Westchester School of Beauty Culture,3,PS,NA,0.504950495,55
Word of Life Bible Institute,2,5500,NA,0.6757990868,549
Yeshiva Karlin Stolin,2,PS,0.3621,NA,136
Yeshiva Derech Chaim,2,PS,0.1212,NA,119
Yeshiva of Nitra Rabbinical College,2,PS,0.1759,NA,249
Yeshivath Shaar Hatorah,2,PS,0.5532,NA,84
Yeshiva University,2,14000,0.841,0.7953321364,2942
Yeshivath Viznitz,2,PS,0.7143,PS,921
Yeshivath Zichron Moshe,2,PS,0.6098,NA,176
College of the Albemarle,1,PS,NA,0.2409638554,1271
South Piedmont Community College,1,PS,NA,NA,1555
Appalachian State University,1,15750,0.7411,0.715567072,19304
Asheville-Buncombe Technical Community College,1,10000,NA,0.3395209581,4909
Barton College,2,15000,0.4932,0.5013812155,1020
Beaufort County Community College,1,8125,NA,0.1685606061,1560
Belmont Abbey College,2,14560,0.4663,0.4229665072,1454
Bennett College,2,17351,0.2007,0.2575107296,191
Bladen Community College,1,PS,NA,0.154589372,880
Blue Ridge Community College,1,9280,NA,0.2964169381,1788
Brevard College,2,11250,0.3747,0.5224274406,760
Brunswick Community College,1,PS,NA,NA,1124
Cabarrus College of Health Sciences,2,11499,0.4667,0.6990291262,602
Caldwell Community College and Technical Institute,1,6625,NA,0.2470355731,2331
Campbell University,2,17000,0.5573,0.5718142549,2790
Cape Fear Community College,1,6334,NA,0.2993817117,9497
Carteret Community College,1,4625,NA,0.3165467626,1144
Catawba College,2,13000,0.5418,0.5787348587,1127
Catawba Valley Community College,1,5125,NA,0.36375,3517
Central Carolina Community College,1,PS,NA,NA,3255
Central Piedmont Community College,1,5500,NA,0.3046934141,13640
Chowan University,2,15250,0.27,0.3107971746,638
Cleveland Community College,1,PS,NA,NA,1236
Coastal Carolina Community College,1,PS,NA,0.3461538462,2682
Craven Community College,1,5500,NA,0.2955752212,1877
Davidson-Davie Community College,1,9500,NA,0.2622088655,2454
Davidson College,2,16511,0.9176,0.8389830508,1901
Duke University,2,12000,0.9623,0.8887993554,6417
Durham Technical Community College,1,8719,NA,0.2446808511,3195
East Carolina University,1,17500,0.6363,0.6333859032,19857
Edgecombe Community College,1,9500,NA,0.2166361974,938
Elizabeth City State University,1,12656,0.4586,0.2630930376,1863
Elon University,2,18500,0.8311,0.8305235138,6402
Fayetteville Technical Community College,1,8000,NA,0.1838509317,8814
Fayetteville State University,1,15766,0.3932,0.2935750636,5493
Forsyth Technical Community College,1,5888,NA,0.218960539,6939
Gardner-Webb University,2,16453,0.5673,0.5099183197,1836
Gaston College,1,PS,NA,PS,3359
Greensboro College,2,17986,0.4047,0.4572230014,656
Guilford College,2,15448,0.4863,0.5105657805,1011
Guilford Technical Community College,1,7915,NA,0.1799883314,8179
Halifax Community College,1,5670,NA,0.1972049689,540
Haywood Community College,1,PS,NA,0.3443223443,793
Heritage Bible College,2,PS,PS,PS,28
High Point University,2,19000,0.6899,0.7039819684,4970
